invoice_date,customer_id,invoice_num,invoice_amount,terms,customer_order,item,amount
12/31/2024,m,400264,225,Shipping Point,YGJW5MM2QJSJ,cowbells,11
12/31/2024,m,400264,225,Shipping Point,YGJW5MM2QJSJ,bathbombs,23
12/31/2024,c,400263,210,Shipping Point,CP8IK60HEX58,cowbells,11
12/31/2024,c,400263,210,Shipping Point,CP8IK60HEX58,bathbombs,20
12/31/2024,i,400262,265,Shipping Point,PWUX3ZRDDTDV,cowbells,17
12/31/2024,i,400262,265,Shipping Point,PWUX3ZRDDTDV,bathbombs,19
12/31/2024,i,400261,295,Shipping Point,KS5J92KQ0YWA,cowbells,13
12/31/2024,i,400261,295,Shipping Point,KS5J92KQ0YWA,bathbombs,33
12/31/2024,m,400260,275,Destination,A1Y2FJL3FLRV,cowbells,15
12/31/2024,m,400260,275,Destination,A1Y2FJL3FLRV,bathbombs,25
12/31/2024,k,400259,245,Destination,3I3QYLC9XS3B,cowbells,15
12/31/2024,k,400259,245,Destination,3I3QYLC9XS3B,bathbombs,19
12/31/2024,j,400258,155,Shipping Point,GVFDA3QMZG25,cowbells,4
12/31/2024,j,400258,155,Shipping Point,GVFDA3QMZG25,bathbombs,23
12/31/2024,h,400257,160,Shipping Point,OD5MFGSH7290,cowbells,10
12/31/2024,h,400257,160,Shipping Point,OD5MFGSH7290,bathbombs,12
12/31/2024,f,400256,245,Destination,N0Y58L6U6KNQ,cowbells,14
12/31/2024,f,400256,245,Destination,N0Y58L6U6KNQ,bathbombs,21
12/31/2024,m,400255,185,Destination,4TBSFO05JJCZ,cowbells,10
12/31/2024,m,400255,185,Destination,4TBSFO05JJCZ,bathbombs,17
12/31/2024,g,400254,325,Shipping Point,YIQ54ULR6FQS,cowbells,22
12/31/2024,g,400254,325,Shipping Point,YIQ54ULR6FQS,bathbombs,21
12/31/2024,g,400253,125,Shipping Point,FKPQF1K4FBHY,cowbells,10
12/31/2024,g,400253,125,Shipping Point,FKPQF1K4FBHY,bathbombs,5
12/31/2024,l,400252,160,Shipping Point,NV9J20SURH3E,cowbells,10
12/31/2024,l,400252,160,Shipping Point,NV9J20SURH3E,bathbombs,12
12/31/2024,b,400251,185,Shipping Point,R9QKZRCCPHTT,cowbells,7
12/31/2024,b,400251,185,Shipping Point,R9QKZRCCPHTT,bathbombs,23
12/31/2024,a,400250,230,Shipping Point,K1Q3WH4ZHETX,cowbells,11
12/31/2024,a,400250,230,Shipping Point,K1Q3WH4ZHETX,bathbombs,24
12/31/2024,h,400249,255,Destination,5NFE0UPBMIU9,cowbells,16
12/31/2024,h,400249,255,Destination,5NFE0UPBMIU9,bathbombs,19
12/31/2024,h,400248,230,Destination,YHD6HDRH3A7H,cowbells,11
12/31/2024,h,400248,230,Destination,YHD6HDRH3A7H,bathbombs,24
12/31/2024,a,400247,195,Shipping Point,TL0PJDEWWDR4,cowbells,13
12/31/2024,a,400247,195,Shipping Point,TL0PJDEWWDR4,bathbombs,13
12/31/2024,i,400246,245,Shipping Point,5A7OXWTX9AR2,cowbells,15
12/31/2024,i,400246,245,Shipping Point,5A7OXWTX9AR2,bathbombs,19
12/31/2024,g,400245,165,Shipping Point,6X1C9TBWHE3S,cowbells,9
12/31/2024,g,400245,165,Shipping Point,6X1C9TBWHE3S,bathbombs,15
12/31/2024,a,400244,275,Destination,MVF1CG7OM0ZH,cowbells,16
12/31/2024,a,400244,275,Destination,MVF1CG7OM0ZH,bathbombs,23
