shipping_date,delivery_date,shipping_num,customer_id_invoice,shipping_weight
11/6/2024,11/10/2024,qf0sNp7fZLK0u,a - 381754,30.08683871
11/4/2024,11/9/2024,xk5FJ4OB03hdG,k - 381315,22.17946207
7/31/2024,8/4/2024,v1q7ZKWtOxDcc,c - 361184,36.81778598
9/30/2024,10/3/2024,J2e827rAoFy1R,m - 373908,39.04574076
2/27/2024,3/3/2024,stVnrLgEV8bdD,e - 332705,15.69989973
8/23/2024,8/28/2024,FzYzrrerNc0NQ,f - 366035,15.26901265
7/31/2024,8/3/2024,xpSMLIrC9xtth,m - 361762,22.80021519
11/5/2024,11/7/2024,J3ivezW72ycGn,j - 381366,31.86853929
4/2/2024,4/4/2024,FsJZXq5S0hD5N,c - 337072,24.5201519
9/28/2024,10/3/2024,kClGPSNpk8rv5,a - 372996,47.85373268
5/16/2024,5/20/2024,7qBKpjcaMje7D,a - 346594,36.46836321
2/27/2024,3/1/2024,D6A2Sf9BlGSew,j - 332717,19.79924186
11/26/2024,12/1/2024,0Jglgi4elMx65,a - 386661,44.53177118
9/27/2024,10/1/2024,fixhfR05i0myl,d - 372692,31.74507
12/17/2024,12/19/2024,HwNNTEsptC0I3,i - 394456,31.54644629
10/18/2024,10/20/2024,bSmHint9Z0nuh,j - 377859,14.36474933
7/12/2024,7/15/2024,pBFGe0opliXKi,a - 357253,42.31154642
12/5/2024,12/8/2024,RtKCiymKnOnkM,b - 390446,43.43999218
10/13/2024,10/18/2024,Jliue2v8poAUL,d - 376471,38.09576479
6/23/2024,6/27/2024,eG0GzG7RFR2bw,d - 353851,37.79061254
10/5/2024,10/8/2024,KHXqUbzdyTxLZ,a - 374991,26.3432595
9/8/2024,9/11/2024,5ye9mKOuXF11s,j - 369493,27.48025318
9/29/2024,10/3/2024,1ScBe1uQ6bEYt,g - 373253,27.80502675
9/8/2024,9/11/2024,fcw0DaUMAdsBf,c - 369282,23.67345158
11/8/2024,11/12/2024,InM9gQPrNNKJw,m - 381393,46.14591739
12/3/2024,12/8/2024,sI4MWOb5Wi2lb,a - 389039,21.51167187
2/8/2024,2/10/2024,AEWW2HqiTvHy2,f - 330410,33.20273488
5/18/2024,5/22/2024,v4Z2DbLDFbfRs,b - 346577,45.15085372
7/31/2024,8/3/2024,WOPIomN7ATOJo,g - 361441,52.11220016
2/18/2024,2/22/2024,xeoRknpu0ll4A,i - 331635,18.06309095
7/31/2024,8/4/2024,TObF2msfYOpHl,h - 361843,18.2094433
5/17/2024,5/21/2024,v0oDkmOCZNSbi,i - 346418,23.50345671
8/28/2024,9/1/2024,C6Urf6kgazpDB,l - 366913,27.36897841
5/25/2024,5/29/2024,1IEYa8qsVx0Rm,l - 347926,29.85887298
5/22/2024,5/26/2024,Cl5MuBSCFqiRa,g - 347480,30.1767985
5/26/2024,5/28/2024,Si56cN72FIxd3,i - 348247,30.13201271
12/12/2024,12/17/2024,oxnNVRu5KCzp1,i - 391851,20.32189816
11/27/2024,11/29/2024,2ISqiwRZyTmqM,h - 386636,28.77626883
11/8/2024,11/11/2024,VmPwkjZR5yRf6,h - 382026,39.67085827
1/22/2024,1/26/2024,W5phNPt7LNBfk,l - 328007,23.95995242
10/15/2024,10/19/2024,jO64jj3RQ6DtJ,l - 376987,42.56648737
7/6/2024,7/10/2024,ocIEtVxB0NdGJ,i - 356877,41.36465218
5/31/2024,6/4/2024,N3BZVIaicsS9W,g - 349448,35.32458829
12/16/2024,12/19/2024,DIx3GgvoDG2kB,k - 394188,19.77761565
12/22/2024,12/26/2024,oHXB3yF6tdXU3,c - 396377,37.93383393
12/9/2024,12/14/2024,PQ8sSOlKf8Dan,m - 390849,19.80689349
2/21/2024,2/26/2024,0yQ1sPla5JZ3z,c - 332013,24.97602651
1/11/2024,1/15/2024,NdxHvk1FHv5yl,g - 326218,21.26242596
9/12/2024,9/15/2024,34SpMNcVOyETE,a - 369795,33.51768231
9/20/2024,9/22/2024,WCyTPjRo7UTEk,c - 371550,29.62197252
11/29/2024,12/4/2024,MGR5l16cUouG4,g - 387076,12.99707683
11/25/2024,11/30/2024,Yy6fcsLYI5yxp,h - 386657,23.41899575
8/2/2024,8/7/2024,Wexr9MWkuP2hl,d - 362203,34.01697442
9/21/2024,9/26/2024,bmgzlCyxWPC6c,b - 371603,29.83709301
6/13/2024,6/16/2024,JpADmVdmdnlKN,j - 351642,14.72814222
5/12/2024,5/16/2024,9ADEvTLshR6ge,m - 345426,32.0944427
1/6/2024,1/10/2024,gmtGl4Ypp1ivh,m - 325494,54.33678908
12/11/2024,12/14/2024,NCplurD9yYylj,b - 391941,29.11445319
12/12/2024,12/16/2024,BKgcF3tOVdRBi,l - 392919,36.87702999
8/16/2024,8/21/2024,mKRNQ0EBHFQWi,b - 365281,23.59157505
11/4/2024,11/7/2024,efzF67wTgR3dH,g - 381036,39.39924955
6/21/2024,6/26/2024,aCARV5xh4sefs,c - 353242,22.20553057
2/21/2024,2/24/2024,Asmx9jpUKXXwV,k - 332114,21.35797556
5/31/2024,6/5/2024,otEi8iH66H61x,i - 348727,40.37297127
12/8/2024,12/12/2024,L2UEnn1S3xHBC,c - 390577,26.64025041
12/7/2024,12/9/2024,qDprzNtNH1DTK,m - 389600,21.8856004
8/22/2024,8/27/2024,lXhHbX4zQS2bm,b - 366313,30.19551428
10/12/2024,10/15/2024,L5WziqvJmUu4E,k - 376424,18.12975911
10/25/2024,10/27/2024,APMO3v9EuNijH,e - 378705,37.1610861
4/13/2024,4/16/2024,y9OQyCmXSiu66,i - 339180,20.66478012
4/28/2024,5/1/2024,IsuQifp2wrHgY,k - 342711,31.72713921
10/3/2024,10/5/2024,PDiy0PqTPpgjS,g - 374518,27.09251533
6/29/2024,7/3/2024,IM4CVLhsNRLA1,h - 354681,39.41436949
1/19/2024,1/21/2024,l17giXvk0lUIM,k - 327386,31.36117637
10/3/2024,10/6/2024,Tv0ugWc959FsK,b - 374390,25.51391176
3/7/2024,3/11/2024,HPgNhH0046Ypg,k - 333901,29.63543403
8/11/2024,8/15/2024,uQx4FBjyt0OyG,b - 363842,15.44839035
