id,cpu,cpu_mark,price_usd,brand
1,AMD Ryzen Threadripper PRO 5995WX,97275,9018.0,AMD
2,AMD EPYC 7773X,90731,5500.0,AMD
4,AMD EPYC 7763,85944,4749.99,AMD
5,AMD EPYC 7713,85521,4199.99,AMD
7,AMD Ryzen Threadripper PRO 3995WX,83153,6888.83,AMD
8,AMD Ryzen Threadripper 3990X,81235,6533.47,AMD
9,AMD Ryzen Threadripper PRO 5975WX,78077,3299.0,AMD
11,AMD EPYC 7643,76455,5424.99,AMD
12,AMD EPYC 7662,73143,3999.99,AMD
13,AMD EPYC 7702,71646,2259.25,AMD
14,AMD EPYC 7742,68749,4936.95,AMD
15,AMD EPYC 75F3,68505,4999.0,AMD
16,AMD Ryzen Threadripper PRO 5965WX,67610,2765.0,AMD
17,AMD EPYC 7543P,66964,2999.0,AMD
18,AMD Ryzen 9 7950X,66251,699.0,AMD
20,AMD Ryzen Threadripper 3970X,63546,1999.99,AMD
21,AMD Ryzen Threadripper PRO 3975WX,62790,3510.0,AMD
22,Intel Xeon Platinum 8380 @ 2.30GHz,62318,8978.0,Intel
23,AMD EPYC 7702P,62278,2034.12,AMD
24,AMD EPYC 74F3,60686,4798.95,AMD
25,AMD EPYC 7513,59988,2840.0,AMD
26,AMD EPYC 7642,59126,1895.0,AMD
27,AMD EPYC 7443P,57490,1683.99,AMD
28,AMD EPYC 7542,56728,1499.99,AMD
29,AMD EPYC 7543,56562,3761.0,AMD
30,AMD EPYC 7532,55358,1339.96,AMD
31,AMD EPYC 7453,54999,1799.0,AMD
32,AMD Ryzen Threadripper 3960X,54793,1098.95,AMD
34,Intel Xeon Platinum 8358 @ 2.60GHz,54416,5097.75,Intel
35,Intel Xeon W-3375 @ 2.50GHz,53266,4499.0,Intel
36,AMD Ryzen 9 7900X,53110,936.0,AMD
37,Intel Xeon Gold 6348 @ 2.60GHz,52276,2799.99,Intel
39,Intel Xeon Gold 6314U @ 2.30GHz,51014,2782.0,Intel
40,AMD EPYC 7413,50223,1997.99,AMD
41,AMD Ryzen Threadripper PRO 5955WX,49726,1407.35,AMD
43,AMD EPYC 7502,49178,2096.75,AMD
44,AMD EPYC 7502P,48995,1613.64,AMD
45,Intel Xeon Gold 6342 @ 2.80GHz,48330,3272.0,Intel
46,Intel Xeon W-3345 @ 3.00GHz,48261,2499.0,Intel
47,AMD EPYC 7402,47743,1795.0,AMD
48,Intel Xeon Gold 6338N @ 2.20GHz,46322,4671.69,Intel
50,AMD EPYC 73F3,46085,3997.33,AMD
51,AMD EPYC 7343,45882,1699.99,AMD
52,AMD Ryzen 9 5950X,45850,549.99,AMD
53,Intel Xeon Gold 6336Y @ 2.40GHz,45517,2857.95,Intel
54,Intel Core i9-12900KS,44790,729.99,Intel
55,AMD EPYC 7551P,44111,355.99,AMD
56,Intel Xeon Gold 6312U @ 2.40GHz,43745,1809.59,Intel
57,Intel Xeon Gold 6330 @ 2.00GHz,43056,1649.0,Intel
58,AMD EPYC 7601,42244,875.92,AMD
59,AMD EPYC 7313P,41884,913.0,AMD
60,AMD EPYC 7452,41871,2300.0,AMD
61,Intel Core i9-12900KF,41505,559.89,Intel
62,Intel Core i9-12900K,41467,584.98,Intel
63,Intel Xeon Gold 6354 @ 3.00GHz,41434,2757.99,Intel
64,AMD EPYC 7402P,41098,1334.98,AMD
66,AMD EPYC 7F52,41023,3100.0,AMD
67,AMD EPYC 7313,40936,1179.99,AMD
70,Intel Xeon W-3275M @ 2.50GHz,40767,7453.0,Intel
72,AMD EPYC 7352,39999,1241.57,AMD
73,AMD Ryzen Threadripper PRO 3955WX,39937,1316.0,AMD
74,Intel Xeon W-3265M @ 2.70GHz,39618,6353.0,Intel
75,AMD Ryzen 9 5900X,39317,368.0,AMD
76,AMD Ryzen 9 3950X,39034,680.0,AMD
77,Intel Xeon W-3335 @ 3.40GHz,38944,1299.0,Intel
78,Intel Xeon Gold 6248R @ 3.00GHz,38604,2595.0,Intel
80,Intel Xeon Gold 6346 @ 3.10GHz,37606,1968.0,Intel
81,Intel Xeon Platinum 8280 @ 2.70GHz,37575,9895.44,Intel
82,Intel Xeon Gold 6238R @ 2.20GHz,37511,2785.53,Intel
83,Intel Xeon Silver 4316 @ 2.30GHz,37264,1082.0,Intel
84,Intel Core i9-12900F,37179,484.99,Intel
85,Intel Xeon W-3175X @ 3.10GHz,37167,1501.99,Intel
86,Intel Core i9-12900,36491,499.99,Intel
87,Intel Core i9-12900HX,35595,606.0,Intel
88,Intel Xeon Gold 6242R @ 3.10GHz,35356,2500.87,Intel
89,Intel Xeon Gold 6326 @ 2.90GHz,35328,1575.71,Intel
90,Intel Core i7-12800HX,35210,457.0,Intel
91,Intel Xeon Platinum 8180 @ 2.50GHz,35208,6084.0,Intel
93,Intel Core i7-12700K,34599,409.0,Intel
95,Intel Core i7-12700KF,34345,377.98,Intel
97,Intel Xeon Platinum 8260M @ 2.30GHz,33970,7705.0,Intel
98,AMD EPYC 7302,33863,569.55,AMD
99,Intel Xeon D-2799 @ 2.40GHz,33792,1933.0,Intel
100,Intel Xeon Gold 6230R @ 2.10GHz,33733,1767.0,Intel
101,Intel Xeon Gold 5220R @ 2.20GHz,33370,1665.0,Intel
104,Intel Core i9-10980XE @ 3.00GHz,33263,1000.0,Intel
105,Intel Core i9-12900T,33102,489.0,Intel
106,AMD Ryzen 9 3900XT,32952,368.93,AMD
108,AMD EPYC 7302P,32765,905.79,AMD
109,AMD Ryzen 9 3900X,32764,350.0,AMD
110,Intel Core i9-12950HX,32734,590.0,Intel
111,Intel Xeon Platinum 8168 @ 2.70GHz,32616,6150.0,Intel
112,AMD Ryzen Threadripper 2990WX,32370,2990.0,AMD
113,Intel Core i9-9980XE @ 3.00GHz,32214,1455.0,Intel
114,Intel Xeon W-3245M @ 3.20GHz,32161,5002.0,Intel
115,Intel Xeon W-2295 @ 3.00GHz,31594,1520.14,Intel
116,Intel Core i7-12700F,31525,314.99,Intel
118,Intel Core i7-12850HX,31304,428.0,Intel
119,Intel Core i7-12700,31236,342.98,Intel
120,AMD EPYC 7371,31094,609.97,AMD
121,Intel Core i9-9960X @ 3.10GHz,30778,1299.0,Intel
124,AMD Ryzen 9 3900,30631,501.0,AMD
126,AMD EPYC 7282,30354,465.33,AMD
127,AMD Ryzen Threadripper 2970WX,30225,779.99,AMD
128,Intel Xeon Gold 6246R @ 3.40GHz,30220,3369.0,Intel
129,Intel Core i9-9990XE @ 4.00GHz,30162,2163.0,Intel
130,Intel Core i9-7980XE @ 2.60GHz,30133,596.93,Intel
131,Intel Xeon W-3265 @ 2.70GHz,30105,4551.37,Intel
132,Intel Xeon Platinum 8268 @ 2.90GHz,30103,6005.98,Intel
133,Intel Xeon Silver 4314 @ 2.40GHz,30043,767.27,Intel
134,AMD Ryzen Threadripper 2950X,29617,1595.0,AMD
135,Intel Core i9-12900HK,29407,635.0,Intel
136,Intel Xeon Gold 6254 @ 3.10GHz,29356,3502.0,Intel
137,Intel Xeon Gold 6148 @ 2.40GHz,29147,2789.98,Intel
139,Intel Core i9-12900H,29086,617.0,Intel
140,Intel Xeon Gold 6210U @ 2.50GHz,28915,1422.52,Intel
141,Intel Xeon Gold 6154 @ 3.00GHz,28848,2918.0,Intel
142,Intel Xeon Gold 5317 @ 3.00GHz,28580,1022.0,Intel
144,Intel Xeon W-3245 @ 3.20GHz,28531,2683.99,Intel
145,Intel Core i9-10940X @ 3.30GHz,28417,739.99,Intel
146,Intel Core i9-9940X @ 3.30GHz,28364,1020.0,Intel
147,AMD EPYC 7401P,28282,249.97,AMD
148,Intel Core i7-12700E,28217,344.0,Intel
