date_sold,sales_price,address,bedrooms,bathrooms,square_feet,home_type,year_built,neighborhood,lat,long,age
2022-05-20T00:00:00Z,320000,"2150 3rd Ct APT 307, Tuscaloosa, AL 35401",3,3,1700,Townhouse,2014,Forest Lake,33.1919865909742,-87.5412253865088,8
2022-05-20T00:00:00Z,174900,"120 15th St E APT 918, Tuscaloosa, AL 35401",2,2,1040,Condominium,1991,University,33.2009478518015,-87.5350769881787,31
2022-05-20T00:00:00Z,150000,"210 15th St E APT 35, Tuscaloosa, AL 35401",2,2,995,Condominium,1985,University,33.1991750656995,-87.5338094173017,37
2022-05-19T00:00:00Z,185000,"1901 5th Ave E UNIT 2106, Tuscaloosa, AL 35401",2,2,1112,Condominium,2007,Forest Lake,33.1936395660404,-87.5297605866166,15
2022-05-16T00:00:00Z,167000,"120 15th St E APT 519, Tuscaloosa, AL 35401",2,2,1040,Condominium,1991,University,33.2009919162692,-87.5353680866164,31
2022-05-16T00:00:00Z,174000,"120 15th St E APT 512, Tuscaloosa, AL 35401",2,2,1040,Condominium,1991,University,33.2008767519403,-87.5354945577808,31
2022-05-16T00:00:00Z,3e+05,"1100 14th Ave APT A8, Tuscaloosa, AL 35401",2,3,1096,Townhouse,1977,University,33.2053915970878,-87.5552942866164,45
2022-05-16T00:00:00Z,174900,"120 15th St E APT 120, Tuscaloosa, AL 35401",2,2,1040,Condominium,1991,University,33.1998949966223,-87.5351856136026,31
2022-05-16T00:00:00Z,186000,"600 13th St E APT 516, Tuscaloosa, AL 35401",3,3,1175,Condominium,2006,University,33.2016082731559,-87.5273283154521,16
2022-05-16T00:00:00Z,649900,"1150 8th St #411, Tuscaloosa, AL 35401",1,2,1183,Condominium,2020,University,33.2097890171877,-87.5523566307945,2
2022-05-13T00:00:00Z,130000,"1813 Hackberry Ln APT 5, Tuscaloosa, AL 35401",2,2,894,Condominium,1985,Forest Lake,33.1948875880273,-87.5426836577809,37
2022-05-13T00:00:00Z,172000,"120 15th St E APT 114, Tuscaloosa, AL 35401",2,2,1072,Condominium,1991,University,33.1998988313811,-87.5352499866165,31
2022-05-13T00:00:00Z,219900,"600 13th St E APT 716, Tuscaloosa, AL 35401",3,3,1175,Condominium,2006,University,33.2016379825307,-87.5273041442878,16
2022-05-13T00:00:00Z,352500,"1015 14th Ave APT 5, Tuscaloosa, AL 35401",2,2,950,Condominium,1986,University,33.2062730951892,-87.5546827001094,36
2022-05-12T00:00:00Z,165000,"1901 5th Ave E UNIT 2105, Tuscaloosa, AL 35401",2,2,1044,Condominium,2007,Forest Lake,33.1936205097224,-87.5297706154522,15
2022-05-12T00:00:00Z,242200,"900 Red Drew Ave UNIT 16, Tuscaloosa, AL 35401",1,1,616,Condominium,2001,University,33.2077419059145,-87.5548592019589,21
2022-05-12T00:00:00Z,250000,"600 13th St E APT 913, Tuscaloosa, AL 35401",3,3,1410,Townhouse,2006,University,33.2017748330753,-87.5270615136025,16
2022-05-10T00:00:00Z,436000,"612 Red Drew Ave UNIT 3, Tuscaloosa, AL 35401",2,2,1071,Condominium,2001,University,33.2093027949603,-87.5548366712737,21
2022-05-09T00:00:00Z,264900,"700 15th St UNIT 1204, Tuscaloosa, AL 35401",2,2,1122,Condominium,2010,University,33.1998234866244,-87.5474602038087,12
2022-05-09T00:00:00Z,164900,"120 15th St E APT 909, Tuscaloosa, AL 35401",2,2,1040,Condominium,1991,University,33.200996148546,-87.5350275424382,31
2022-05-06T00:00:00Z,84000,"901 Hargrove Rd APT 26C, Tuscaloosa, AL 35401",2,1,546,Condominium,1950,35401,33.1926850027273,-87.5500153307948,72
2022-05-06T00:00:00Z,85000,"901 Hargrove Rd APT 7F, Tuscaloosa, AL 35401",2,1,548,Condominium,1950,35401,33.1926221549063,-87.5499938731235,72
2022-05-05T00:00:00Z,285000,"700 15th St UNIT 2310, Tuscaloosa, AL 35401",3,2,1407,Condominium,2009,University,33.2005153977029,-87.5469650307948,13
2022-05-05T00:00:00Z,330000,"708 11th St APT 121, Tuscaloosa, AL 35401",2,1,900,Condominium,1985,University,33.2052199974573,-87.546766788466,37
2022-05-04T00:00:00Z,125000,"120 15th St E APT 221, Tuscaloosa, AL 35401",1,1,708,Condominium,1991,University,33.199698021575,-87.535255174973,31
2022-05-03T00:00:00Z,226000,"600 13th St E APT 741, Tuscaloosa, AL 35401",3,2,1250,Condominium,2006,University,33.2014814828839,-87.5273005173017,16
2022-04-29T00:00:00Z,196500,"13 Brook Meadows Cir, Tuscaloosa, AL 35401",4,3,1920,Townhouse,1999,35401,33.1872562631585,-87.5309952154523,23
2022-04-29T00:00:00Z,175000,"1901 5th Ave E UNIT 3108, Tuscaloosa, AL 35401",2,2,1112,Condominium,2007,Forest Lake,33.1936686223328,-87.5294315866166,15
2022-04-29T00:00:00Z,157000,"1901 5th Ave E UNIT 2206, Tuscaloosa, AL 35401",2,2,1112,Condominium,2007,Forest Lake,33.1936701659809,-87.5297043884662,15
2022-04-29T00:00:00Z,407500,"2140 12th St, Tuscaloosa, AL 35401",3,3,1584,Townhouse,2017,South 22nd,33.2043605680751,-87.562845888466,5
2022-04-29T00:00:00Z,110000,"120 15th St E APT 322, Tuscaloosa, AL 35401",1,1,708,Condominium,1991,University,33.1997410092572,-87.5350966307947,31
2022-04-29T00:00:00Z,183000,"600 13th St E APT 422, Tuscaloosa, AL 35401",2,2,875,Condominium,2006,University,33.2016112505092,-87.5273480289451,16
2022-04-29T00:00:00Z,176000,"1901 5th Ave E UNIT 2223, Tuscaloosa, AL 35401",2,2,1114,Condominium,2007,University,33.1934976881262,-87.5296507442879,15
2022-04-29T00:00:00Z,215000,"600 13th St E APT 742, Tuscaloosa, AL 35401",3,3,1250,Condominium,2006,University,33.201462905549,-87.5272146866164,16
2022-04-29T00:00:00Z,589900,"1650 Jack Warner Pkwy UNIT 2106, Tuscaloosa, AL 35401",3,2,1421,Condominium,2012,University,33.2179479484791,-87.5586926731231,10
