sales_date	customer_id	invoice_num	starfire_lantern_qty	nightlock_net_qty	invoice_amount
2023-08-07	D7 Timberline Collective	356542	19	14	536
2023-08-23	D7 Timberline Collective	358894	23	18	609
2023-09-06	D11 Harvest Defense Co.	361089	19	7	348
2023-09-19	D4 Tidefront Supplies	362951	24	13	522
2023-10-03	D12 Ember Corp.	365060	22	5	403
2023-10-04	D3 SignalWorks	365237	20	9	386
2023-10-04	D4 Tidefront Supplies	365297	19	3	281
2023-10-13	D3 SignalWorks	366591	24	9	421
2023-10-17	D4 Tidefront Supplies	367205	20	11	449
2023-10-27	D12 Ember Corp.	368704	13	6	327
2023-10-30	D11 Harvest Defense Co.	369157	20	8	403
2023-10-31	D11 Harvest Defense Co.	369371	12	6	343
2023-11-06	D12 Ember Corp.	370231	28	11	497
2023-11-06	D4 Tidefront Supplies	370210	27	9	423
2023-11-06	D3 SignalWorks	370201	20	6	320
2023-11-08	D12 Ember Corp.	370580	29	13	502
2023-11-14	D12 Ember Corp.	371475	23	6	383
2023-11-14	D4 Tidefront Supplies	371426	17	10	403
2023-11-27	D11 Harvest Defense Co.	373383	24	10	458
2023-11-29	D11 Harvest Defense Co.	373675	30	14	555
2023-11-29	D12 Ember Corp.	373614	26	14	557
2023-11-29	D4 Tidefront Supplies	373603	26	7	454
2023-12-01	D12 Ember Corp.	373920	11	12	463
2023-12-05	D4 Tidefront Supplies	374600	30	6	458
2023-12-05	D3 SignalWorks	374575	11	9	333
2023-12-07	D11 Harvest Defense Co.	374819	15	8	317
2023-12-08	D11 Harvest Defense Co.	374967	29	9	437
2023-12-13	D11 Harvest Defense Co.	375810	26	7	365
2023-12-14	D7 Timberline Collective	375963	23	8	370
2023-12-14	D11 Harvest Defense Co.	375845	18	12	470
2023-12-15	D7 Timberline Collective	376077	12	8	316
2023-12-18	D12 Ember Corp.	376477	18	12	471
2023-12-18	D7 Timberline Collective	376495	16	9	327
2023-12-18	D3 SignalWorks	376559	10	11	395
2023-12-19	D3 SignalWorks	376707	18	10	397
2023-12-19	D7 Timberline Collective	376666	26	8	413
2023-12-19	D7 Timberline Collective	376708	22	11	495
2023-12-19	D4 Tidefront Supplies	376632	18	10	403
2023-12-19	D7 Timberline Collective	376734	27	14	529
2023-12-20	D7 Timberline Collective	376819	15	16	521
2023-12-21	D4 Tidefront Supplies	376978	17	11	466
2023-12-22	D4 Tidefront Supplies	377087	5	5	231
2023-12-26	D4 Tidefront Supplies	377654	20	8	392
2023-12-27	D12 Ember Corp.	377870	12	9	340
2023-12-27	D3 SignalWorks	377881	19	16	571
2023-12-28	D4 Tidefront Supplies	378024	20	10	413
2023-12-28	D12 Ember Corp.	377957	22	12	471
2023-12-29	D3 SignalWorks	378136	14	8	326
2024-01-01	D7 Timberline Collective	378668	20	10	460
2024-01-01	D7 Timberline Collective	378583	10	10	357
2024-01-05	D11 Harvest Defense Co.	379286	22	12	460
2024-01-09	D11 Harvest Defense Co.	379780	23	9	417
2024-01-09	D12 Ember Corp.	379803	30	11	493
2024-01-10	D4 Tidefront Supplies	379900	24	7	420
2024-01-10	D7 Timberline Collective	379913	17	13	398
2024-01-10	D4 Tidefront Supplies	379977	13	14	450
2024-01-15	D4 Tidefront Supplies	380706	13	11	411
2024-01-15	D4 Tidefront Supplies	380704	13	15	466
2024-01-16	D4 Tidefront Supplies	380815	21	8	414
2024-01-17	D3 SignalWorks	380983	28	2	352
2024-01-17	D12 Ember Corp.	381088	28	12	575
2024-01-18	D4 Tidefront Supplies	381222	18	11	436
2024-01-19	D7 Timberline Collective	381383	28	8	433
2024-01-19	D11 Harvest Defense Co.	381356	28	16	596
2024-01-22	D4 Tidefront Supplies	381818	28	9	505
2024-01-23	D4 Tidefront Supplies	381897	20	8	401
2024-01-23	D12 Ember Corp.	381865	17	9	409
2024-01-24	D12 Ember Corp.	382061	14	13	425
2024-01-24	D4 Tidefront Supplies	382065	29	9	460
2024-01-25	D4 Tidefront Supplies	382252	19	12	489
2024-01-25	D3 SignalWorks	382197	16	13	477
2024-01-26	D4 Tidefront Supplies	382316	16	13	453
2024-01-29	D11 Harvest Defense Co.	382813	22	9	451
2024-01-29	D4 Tidefront Supplies	382787	26	10	438
2024-01-31	D7 Timberline Collective	383137	19	7	356
2024-02-01	D12 Ember Corp.	383251	26	10	427
2024-02-01	D11 Harvest Defense Co.	383277	22	12	503
2024-02-01	D12 Ember Corp.	383225	20	9	428
2024-02-02	D3 SignalWorks	383460	20	16	525
2024-02-02	D7 Timberline Collective	383461	34	12	622
2024-02-02	D4 Tidefront Supplies	383382	20	6	362
2024-02-05	D3 SignalWorks	383909	17	11	399
2024-02-05	D4 Tidefront Supplies	383871	26	10	454
2024-02-05	D4 Tidefront Supplies	383847	20	13	475
2024-02-05	D4 Tidefront Supplies	383807	16	6	288
2024-02-06	D7 Timberline Collective	384068	23	5	362
2024-02-06	D12 Ember Corp.	384034	19	13	426
2024-02-07	D4 Tidefront Supplies	384209	13	14	433
2024-02-07	D11 Harvest Defense Co.	384130	19	9	447
2024-02-07	D3 SignalWorks	384159	23	8	395
2024-02-08	D11 Harvest Defense Co.	384339	17	14	491
2024-02-08	D4 Tidefront Supplies	384371	18	13	475
2024-02-08	D12 Ember Corp.	384253	20	12	492
2024-02-09	D12 Ember Corp.	384519	13	8	345
2024-02-09	D3 SignalWorks	384448	24	8	396
2024-02-09	D12 Ember Corp.	384494	14	11	429
2024-02-12	D7 Timberline Collective	384954	19	12	476
2024-02-12	D11 Harvest Defense Co.	384892	27	5	357
2024-02-12	D7 Timberline Collective	384947	17	10	392
2024-02-12	D4 Tidefront Supplies	384905	12	14	481
2024-02-13	D4 Tidefront Supplies	385042	23	6	392
2024-02-14	D3 SignalWorks	385266	22	9	438
2024-02-14	D7 Timberline Collective	385269	27	10	432
2024-02-15	D12 Ember Corp.	385352	18	3	310
2024-02-15	D12 Ember Corp.	385421	25	11	462
